  Component List          ,,,,,,,,,,,,
  work\jina\ultrasound\tnr,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,
No.,,Description(Value),,Footprint(Part),,Q'ty,,Reference,,,,
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,
1,,TP,,TP0_5_SMD,,11,,ATGC_TEMP1,ATGC_TEMP2,TP_VCNTL1,TP1,TP2
,,,,,,,,TP20,TP3,TP4,TP5,TP6
,,,,,,,,TP7,,,,
,,,,,,,,,,,,
2,,10uF,,CC2012,,25,,C114,C129,C130,C2043,C680
,,,,,,,,C682,C685,C686,C699,C78
,,,,,,,,C113,C120,C121,C29,C31
,,,,,,,,C493,C496,C498,C528,C530
,,,,,,,,C533,C609,C610,C76,C77
,,,,,,,,,,,,
3,,470nF,,CC2012,,36,,C142,C143,C144,C146,C152
,,,,,,,,C153,C154,C158,C163,C165
,,,,,,,,C166,C167,C172,C173,C176
,,,,,,,,C180,C141,C145,C147,C148
,,,,,,,,C149,C150,C151,C155,C156
,,,,,,,,C157,C164,C168,C169,C170
,,,,,,,,C171,C174,C175,C177,C178
,,,,,,,,C179,,,,
,,,,,,,,,,,,
4,,1nF,,CC1005,,23,,C1875,C2008,C2013,C2019,C2036
,,,,,,,,C495,C501,C503,C504,C642
,,,,,,,,C650,C660,C670,C698,C708
,,,,,,,,C1965,C596,C602,C615,C619
,,,,,,,,C627,C632,C719,,
,,,,,,,,,,,,
5,,1uF,,CC1608,,40,,C1876,C1877,C1879,C1996,C1997
,,,,,,,,C1998,C1999,C2004,C2005,C2007
,,,,,,,,C2009,C2010,C2012,C2015,C2016
,,,,,,,,C2018,C633,C635,C637,C646
,,,,,,,,C647,C649,C655,C656,C659
,,,,,,,,C665,C666,C668,C692,C693
,,,,,,,,C695,C704,C705,C707,C594
,,,,,,,,C600,C613,C617,C625,C630
,,,,,,,,,,,,
6,,100nF,,CC1005,,340,,C1878,C1950,C1951,C1952,C1954
,,,,,,,,C1961,C1962,C1967,C1968,C1969
,,,,,,,,C1970,C1971,C2006,C2011,C2017
,,,,,,,,C2047,C242,C244,C249,C251
,,,,,,,,C256,C258,C263,C265,C270
,,,,,,,,C281,C284,C285,C287,C288
,,,,,,,,C291,C293,C295,C297,C299
,,,,,,,,C300,C301,C303,C305,C308
,,,,,,,,C313,C316,C318,C323,C460
,,,,,,,,C494,C497,C499,C500,C529
,,,,,,,,C531,C532,C534,C540,C541
,,,,,,,,C542,C543,C544,C636,C648
,,,,,,,,C657,C667,C681,C683,C694
,,,,,,,,C706,C714,C716,C721,C723
,,,,,,,,C724,C10,C100,C101,C102
,,,,,,,,C103,C104,C107,C108,C109
,,,,,,,,C11,C110,C111,C112,C115
,,,,,,,,C116,C117,C118,C119,C12
,,,,,,,,C122,C123,C124,C125,C126
,,,,,,,,C127,C128,C13,C14,C15
,,,,,,,,C16,C17,C18,C19,C196
,,,,,,,,C1963,C1964,C1966,C20,C2022
,,,,,,,,C2023,C2024,C2025,C2027,C2030
,,,,,,,,C2034,C2035,C2037,C2038,C21
,,,,,,,,C210,C211,C212,C213,C215
,,,,,,,,C216,C217,C218,C219,C22
,,,,,,,,C220,C221,C222,C223,C227
,,,,,,,,C228,C229,C230,C231,C232
,,,,,,,,C233,C234,C235,C236,C237
,,,,,,,,C238,C239,C243,C250,C257
,,,,,,,,C26,C264,C27,C271,C28
,,,,,,,,C32,C320,C321,C322,C324
,,,,,,,,C326,C327,C328,C329,C33
,,,,,,,,C330,C331,C332,C333,C335
,,,,,,,,C336,C337,C338,C339,C340
,,,,,,,,C341,C343,C344,C345,C346
,,,,,,,,C347,C348,C349,C35,C350
,,,,,,,,C351,C352,C353,C354,C355
,,,,,,,,C356,C357,C358,C359,C36
,,,,,,,,C360,C361,C362,C363,C364
,,,,,,,,C365,C366,C367,C368,C369
,,,,,,,,C37,C370,C371,C372,C373
,,,,,,,,C375,C376,C377,C378,C379
,,,,,,,,C38,C380,C381,C382,C383
,,,,,,,,C384,C385,C386,C387,C388
,,,,,,,,C389,C39,C390,C391,C392
,,,,,,,,C393,C40,C41,C418,C42
,,,,,,,,C428,C45,C452,C462,C470
,,,,,,,,C474,C475,C476,C48,C480
,,,,,,,,C486,C487,C488,C489,C49
,,,,,,,,C490,C491,C492,C50,C502
,,,,,,,,C506,C51,C510,C511,C512
,,,,,,,,C516,C52,C522,C523,C524
,,,,,,,,C525,C526,C527,C53,C535
,,,,,,,,C536,C54,C545,C546,C547
,,,,,,,,C548,C549,C55,C550,C551
,,,,,,,,C552,C553,C555,C557,C559
