    ---------------------------------------------------------------------------
                                                                           
    * Data units = mm                            
    * TOP/BOTTOM	REFDES	PCB_x	PCB_y	ROTATION	VALUE	FOOTPRINT
   SMD_TOP	ATGC_TEMP1	67.500000	10.750000	0.0	TP	TP0_5_SMD
   SMD_TOP	ATGC_TEMP2	63.500000	9.250000	0.0	TP	TP0_5_SMD
   SMD_TOP	C114	108.750000	45.750000	0.0	10uF	CC2012
   SMD_TOP	C129	88.250000	13.250000	270.0	10uF	CC2012
   SMD_TOP	C130	90.500000	13.250000	270.0	10uF	CC2012
   SMD_TOP	C142	150.000000	54.600000	0.0	470nF	CC2012
   SMD_TOP	C143	150.000000	49.800000	0.0	470nF	CC2012
   SMD_TOP	C144	150.000000	52.200000	0.0	470nF	CC2012
   SMD_TOP	C146	150.000000	47.400000	0.0	470nF	CC2012
   SMD_TOP	C152	141.600000	48.800000	270.0	470nF	CC2012
   SMD_TOP	C153	139.200000	48.800000	270.0	470nF	CC2012
   SMD_TOP	C154	144.000000	48.800000	270.0	470nF	CC2012
   SMD_TOP	C158	136.800000	48.800000	270.0	470nF	CC2012
   SMD_TOP	C163	150.000000	62.600000	0.0	470nF	CC2012
   SMD_TOP	C165	150.000000	65.000000	0.0	470nF	CC2012
   SMD_TOP	C166	150.000000	67.400000	0.0	470nF	CC2012
   SMD_TOP	C167	150.000000	60.200000	0.0	470nF	CC2012
   SMD_TOP	C172	139.750000	66.000000	90.0	470nF	CC2012
   SMD_TOP	C173	137.250000	66.000000	90.0	470nF	CC2012
   SMD_TOP	C176	144.750000	66.000000	90.0	470nF	CC2012
   SMD_TOP	C180	142.250000	66.000000	90.0	470nF	CC2012
   SMD_TOP	C1875	51.500000	71.500000	180.0	1nF	CC1005
   SMD_TOP	C1876	51.500000	74.500000	180.0	1uF	CC1608
   SMD_TOP	C1877	61.000000	74.000000	270.0	1uF	CC1608
   SMD_TOP	C1878	54.000000	78.000000	90.0	100nF	CC1005
   SMD_TOP	C1879	61.000000	71.000000	0.0	1uF	CC1608
   SMD_TOP	C1894	166.000000	71.500000	0.0	100nF	CC3216
   SMD_TOP	C1895	166.000000	69.250000	0.0	100nF	CC3216
   SMD_TOP	C1896	166.000000	67.000000	0.0	100nF	CC3216
   SMD_TOP	C1898	166.000000	62.500000	0.0	100nF	CC3216
   SMD_TOP	C1899	166.000000	60.250000	0.0	100nF	CC3216
   SMD_TOP	C1901	166.000000	58.000000	0.0	100nF	CC3216
   SMD_TOP	C1902	166.000000	55.750000	0.0	100nF	CC3216
   SMD_TOP	C1903	166.000000	64.750000	0.0	100nF	CC3216
   SMD_TOP	C1904	166.000000	42.250000	0.0	100nF	CC3216
   SMD_TOP	C1905	166.000000	40.000000	0.0	100nF	CC3216
   SMD_TOP	C1906	166.000000	37.750000	0.0	100nF	CC3216
   SMD_TOP	C1908	166.000000	53.500000	0.0	100nF	CC3216
   SMD_TOP	C1909	166.000000	51.250000	0.0	100nF	CC3216
   SMD_TOP	C1910	166.000000	49.000000	0.0	100nF	CC3216
   SMD_TOP	C1911	166.000000	46.750000	0.0	100nF	CC3216
   SMD_TOP	C1940	166.000000	44.500000	0.0	100nF	CC3216
   SMD_TOP	C1950	141.900000	17.500000	270.0	100nF	CC1005
   SMD_TOP	C1951	142.900000	17.500000	270.0	100nF	CC1005
   SMD_TOP	C1952	140.900000	17.500000	270.0	100nF	CC1005
   SMD_TOP	C1954	139.900000	17.500000	270.0	100nF	CC1005
   SMD_TOP	C1961	112.750000	69.000000	90.0	100nF	CC1005
   SMD_TOP	C1962	113.750000	69.000000	90.0	100nF	CC1005
   SMD_TOP	C1967	117.750000	69.000000	90.0	100nF	CC1005
   SMD_TOP	C1968	116.750000	69.000000	90.0	100nF	CC1005
   SMD_TOP	C1969	115.750000	69.000000	90.0	100nF	CC1005
   SMD_TOP	C1970	114.750000	69.000000	90.0	100nF	CC1005
   SMD_TOP	C1971	166.500000	13.500000	0.0	100nF	CC1005
   SMD_TOP	C1988	149.000000	38.800000	0.0	680pF	RC1608
   SMD_TOP	C1989	148.700000	40.400000	180.0	22uF	RC2012
   SMD_TOP	C1990	151.800000	38.800000	180.0	680pF	RC1608
   SMD_TOP	C1991	152.100000	40.400000	0.0	22uF	RC2012
   SMD_TOP	C1992	144.900000	38.700000	180.0	680pF	RC1608
   SMD_TOP	C1993	145.200000	40.400000	0.0	22uF	RC2012
   SMD_TOP	C1994	142.100000	38.700000	0.0	680pF	RC1608
   SMD_TOP	C1995	141.800000	40.400000	180.0	22uF	RC2012
   SMD_TOP	C1996	138.000000	39.800000	270.0	1uF	CC1608
   SMD_TOP	C1997	135.200000	42.800000	270.0	1uF	CC1608
   SMD_TOP	C1998	135.200000	39.800000	90.0	1uF	CC1608
   SMD_TOP	C1999	138.000000	42.800000	90.0	1uF	CC1608
   SMD_TOP	C2004	75.000000	56.500000	0.0	1uF	CC1608
   SMD_TOP	C2005	76.500000	61.750000	0.0	1uF	CC1608
   SMD_TOP	C2006	68.000000	65.000000	90.0	100nF	CC1005
   SMD_TOP	C2007	65.500000	61.500000	180.0	1uF	CC1608
   SMD_TOP	C2008	65.500000	58.500000	180.0	1nF	CC1005
   SMD_TOP	C2009	66.200000	45.000000	0.0	1uF	CC1608
   SMD_TOP	C2010	66.200000	48.000000	270.0	1uF	CC1608
   SMD_TOP	C2011	59.200000	52.000000	90.0	100nF	CC1005
   SMD_TOP	C2012	56.700000	48.500000	180.0	1uF	CC1608
   SMD_TOP	C2013	56.700000	45.500000	180.0	1nF	CC1005
   SMD_TOP	C2015	61.000000	58.000000	0.0	1uF	CC1608
   SMD_TOP	C2016	61.000000	61.000000	270.0	1uF	CC1608
   SMD_TOP	C2017	54.000000	65.000000	90.0	100nF	CC1005
   SMD_TOP	C2018	51.500000	61.500000	180.0	1uF	CC1608
   SMD_TOP	C2019	51.500000	58.500000	180.0	1nF	CC1005
   SMD_TOP	C2028	72.750000	14.750000	0.0	150pF	CC1005
   SMD_TOP	C2032	72.750000	12.750000	0.0	120pF	RC1005
   SMD_TOP	C2033	69.750000	22.500000	90.0	120pF	RC1005
   SMD_TOP	C2036	64.500000	11.500000	90.0	1nF	CC1005
   SMD_TOP	C2039	52.500000	16.750000	0.0	10uF	TC2012
   SMD_TOP	C2040	59.000000	9.250000	0.0	10uF	TC2012
   SMD_TOP	C2041	82.250000	7.500000	90.0	10uF	TC2012
   SMD_TOP	C2042	78.750000	4.250000	180.0	10uF	TC2012
   SMD_TOP	C2043	156.900000	12.600000	270.0	10uF	CC2012
   SMD_TOP	C2044	148.500000	7.250000	0.0	10UF	TC3528
   SMD_TOP	C2045	154.000000	16.400000	180.0	10nF	CC1005
   SMD_TOP	C2046	95.250000	10.000000	270.0	4.7uF	CC1608
   SMD_TOP	C2047	109.600000	60.200000	270.0	100nF	CC1005
   SMD_TOP	C242	170.500000	71.500000	180.0	100nF	CC1005
   SMD_TOP	C244	170.500000	72.500000	180.0	100nF	CC1005
   SMD_TOP	C245	170.500000	67.500000	180.0	10nF	CC1005
   SMD_TOP	C249	170.500000	61.000000	180.0	100nF	CC1005
   SMD_TOP	C251	170.500000	62.000000	180.0	100nF	CC1005
   SMD_TOP	C252	170.500000	57.000000	180.0	10nF	CC1005
   SMD_TOP	C256	170.500000	50.500000	180.0	100nF	CC1005
   SMD_TOP	C258	170.500000	51.500000	180.0	100nF	CC1005
   SMD_TOP	C259	170.500000	46.500000	180.0	10nF	CC1005
   SMD_TOP	C263	170.500000	40.000000	180.0	100nF	CC1005
   SMD_TOP	C265	170.500000	41.000000	180.0	100nF	CC1005
   SMD_TOP	C266	170.500000	36.000000	180.0	10nF	CC1005
   SMD_TOP	C270	169.125000	20.625000	0.0	100nF	CC1005
   SMD_TOP	C281	148.600000	21.600000	180.0	100nF	CC1005
   SMD_TOP	C284	148.600000	24.000000	180.0	100nF	CC1005
   SMD_TOP	C285	148.600000	24.800000	180.0	100nF	CC1005
   SMD_TOP	C287	148.600000	22.400000	180.0	100nF	CC1005
   SMD_TOP	C288	148.600000	23.200000	180.0	100nF	CC1005
   SMD_TOP	C291	148.600000	25.600000	180.0	100nF	CC1005
   SMD_TOP	C293	148.600000	26.400000	180.0	100nF	CC1005
   SMD_TOP	C295	148.600000	27.200000	180.0	100nF	CC1005
   SMD_TOP	C297	148.600000	28.800000	180.0	100nF	CC1005
   SMD_TOP	C299	132.750000	41.250000	270.0	100nF	CC1005
   SMD_TOP	C30	82.750000	26.500000	90.0	330uF	TC6032
   SMD_TOP	C300	148.600000	29.600000	180.0	100nF	CC1005
   SMD_TOP	C301	133.750000	41.250000	270.0	100nF	CC1005
   SMD_TOP	C303	148.600000	30.400000	180.0	100nF	CC1005
   SMD_TOP	C305	148.600000	31.200000	180.0	100nF	CC1005
   SMD_TOP	C308	148.600000	32.000000	180.0	100nF	CC1005
   SMD_TOP	C313	148.600000	32.800000	180.0	100nF	CC1005
   SMD_TOP	C316	148.600000	33.600000	180.0	100nF	CC1005
   SMD_TOP	C318	148.600000	34.400000	180.0	100nF	CC1005
   SMD_TOP	C323	147.300000	16.300000	180.0	100nF	CC1005
   SMD_TOP	C334	136.700000	16.800000	0.0	10uF	TC2012
   SMD_TOP	C342	147.300000	17.900000	180.0	10uF	TC2012
   SMD_TOP	C396	111.500000	99.000000	0.0	3.3nF	CC2012
   SMD_TOP	C398	121.500000	94.375000	180.0	1uF	CC2012
   SMD_TOP	C399	114.000000	101.500000	0.0	4.7uF	CC1608
   SMD_TOP	C4	120.000000	32.500000	270.0	10nF	CC1005
   SMD_TOP	C400	121.500000	96.375000	180.0	1uF	CC2012
   SMD_TOP	C401	114.000000	102.875000	0.0	150pF	CC1005
   SMD_TOP	C404	115.000000	99.000000	0.0	3.3nF	CC2012
   SMD_TOP	C406	110.250000	87.000000	0.0	3.3nF	CC2012
